Source,Type,Target,Weight
fem!Ватсон,Undirected,Антея,1
fem!Ватсон,Undirected,Грегори Лестрейд,2
fem!Ватсон,Undirected,Джон Ватсон,1
fem!Ватсон,Undirected,Майкрофт Холмс,2
fem!Ватсон,Undirected,Мориарти,1
fem!Ватсон,Undirected,ОЖП,1
fem!Ватсон,Undirected,Себастьян Моран,1
fem!Ватсон,Undirected,Шерлок Холмс,3
fem!Майкрофт Холмс,Undirected,fem!Холмс,1
fem!Майкрофт Холмс,Undirected,Антея,1
fem!Майкрофт Холмс,Undirected,Грегори Лестрейд,1
fem!Майкрофт Холмс,Undirected,Джон Ватсон,2
fem!Майкрофт Холмс,Undirected,ОМП,1
fem!Майкрофт Холмс,Undirected,Шерлок Холмс,1
fem!Мориарти,Undirected,Мориарти,1
fem!Мориарти,Undirected,ОМП,1
fem!Мориарти,Undirected,Себастьян Моран,1
fem!Себастьян Моран,Undirected,Мориарти,1
fem!Холмс,Undirected,Джон Ватсон,3
fem!Холмс,Undirected,Майкрофт Холмс,2
fem!Холмс,Undirected,Миссис Холмс,1
fem!Холмс,Undirected,Мориарти,2
fem!Холмс,Undirected,ОЖП,1
fem!Холмс,Undirected,ОМП,1
fem!Холмс,Undirected,Шерлок Холмс,3
fem!Холмс,Undirected,Эврус Холмс,2
Александра Соколова,Undirected,Джон Ватсон,1
Александра Соколова,Undirected,Майкрофт Холмс,1
Александра Соколова,Undirected,Мэри Элизабет Морстен,1
Александра Соколова,Undirected,Чарльз Огастес Магнуссен,1
Александра Соколова,Undirected,Шерлок Холмс,1
Алисия Холмс,Undirected,Майкрофт Холмс,1
Алисия Холмс,Undirected,Шерлок Холмс,1
Антея,Undirected,Билли Уиггинс,1
Антея,Undirected,Гарриет Ватсон,1
Антея,Undirected,Гермиона Элизабет Ватсон,1
Антея,Undirected,Грегори Лестрейд,10
Антея,Undirected,Джанин Хоккинс,1
Антея,Undirected,Джон Ватсон,15
Антея,Undirected,Калвертон Смит,1
Антея,Undirected,Клара,1
Антея,Undirected,Леди Алисия Смоллвуд,4
Антея,Undirected,Майкрофт Холмс,20
Антея,Undirected,Миссис Хадсон,4
Антея,Undirected,Миссис Холмс,2
Антея,Undirected,Молли Хупер,5
Антея,Undirected,Мориарти,3
Антея,Undirected,Мэри Элизабет Морстен,1
Антея,Undirected,ОЖП,4
Антея,Undirected,ОМП,4
Антея,Undirected,Розамунд Мэри,4
Антея,Undirected,Салли Донован,2
Антея,Undirected,Фейт Смит,1
Антея,Undirected,Филипп Андерсон,2
Антея,Undirected,Чарльз Огастес Магнуссен,1
Антея,Undirected,Шерлок Холмс,21
Антея,Undirected,Эврус Холмс,2
Билли Уиггинс,Undirected,Генри Найт,1
Билли Уиггинс,Undirected,Грегори Лестрейд,6
Билли Уиггинс,Undirected,Джанин Хоккинс,1
Билли Уиггинс,Undirected,Джон Ватсон,7
Билли Уиггинс,Undirected,Ирэн Адлер,1
Билли Уиггинс,Undirected,Калвертон Смит,1
Билли Уиггинс,Undirected,Майкрофт Холмс,4
