Source,Type,Target,Weight
fem!Ватсон,Undirected,fem!Лестрейд,1
fem!Ватсон,Undirected,fem!Холмс,3
fem!Ватсон,Undirected,Антея,1
fem!Ватсон,Undirected,Винсент Эдвин,1
fem!Ватсон,Undirected,Гарриет Ватсон,1
fem!Ватсон,Undirected,Грегори Лестрейд,5
fem!Ватсон,Undirected,Джон Ватсон,6
fem!Ватсон,Undirected,Кэрри Ватсон,1
fem!Ватсон,Undirected,Майкрофт Холмс,7
fem!Ватсон,Undirected,Миссис Хадсон,2
fem!Ватсон,Undirected,Молли Хупер,1
fem!Ватсон,Undirected,Мориарти,5
fem!Ватсон,Undirected,ОЖП,2
fem!Ватсон,Undirected,ОМП,1
fem!Ватсон,Undirected,Розамунд Мэри,1
fem!Ватсон,Undirected,Салли Донован,1
fem!Ватсон,Undirected,Сара Сойер,1
fem!Ватсон,Undirected,Филипп Андерсон,1
fem!Ватсон,Undirected,Хью  Хант,1
fem!Ватсон,Undirected,Шерлок Холмс,10
fem!Ватсон,Undirected,Элизабет Холмс,1
fem!Ватсон,Undirected,Юджин Миллс,1
fem!Лестрейд,Undirected,fem!Холмс,1
fem!Лестрейд,Undirected,Гарриет Ватсон,1
fem!Лестрейд,Undirected,Грегори Лестрейд,1
fem!Лестрейд,Undirected,Джон Ватсон,1
fem!Лестрейд,Undirected,Майкрофт Холмс,2
fem!Лестрейд,Undirected,Мэри Элизабет Морстен,1
fem!Лестрейд,Undirected,Шерлок Холмс,1
fem!Майкрофт Холмс,Undirected,Мориарти,1
fem!Мориарти,Undirected,Джон Ватсон,1
fem!Мориарти,Undirected,Шерлок Холмс,1
fem!Холмс,Undirected,Гарриет Ватсон,1
fem!Холмс,Undirected,Грегори Лестрейд,2
fem!Холмс,Undirected,Джон Ватсон,5
fem!Холмс,Undirected,Ирэн Адлер,1
fem!Холмс,Undirected,Майкрофт Холмс,2
fem!Холмс,Undirected,Миссис Хадсон,3
fem!Холмс,Undirected,Мориарти,5
fem!Холмс,Undirected,Мэри Элизабет Морстен,2
fem!Холмс,Undirected,ОЖП,1
fem!Холмс,Undirected,ОМП,1
fem!Холмс,Undirected,Стивен Хэмиш Холмс,1
fem!Холмс,Undirected,Шерлок Холмс,3
Адлок,Undirected,Джон Ватсон,2
Адлок,Undirected,Ирэн Адлер,2
Адлок,Undirected,Майкрофт Холмс,1
Адлок,Undirected,Мэри Элизабет Морстен,1
Адлок,Undirected,Шерлок Холмс,2
АдриеннаДеДюпре,Undirected,Грегори Лестрейд,1
АдриеннаДеДюпре,Undirected,Джон Ватсон,1
АдриеннаДеДюпре,Undirected,ЖаклинДеДюпре,1
АдриеннаДеДюпре,Undirected,Майкрофт Холмс,1
АдриеннаДеДюпре,Undirected,Миссис Хадсон,1
АдриеннаДеДюпре,Undirected,Молли Хупер,1
АдриеннаДеДюпре,Undirected,Розамунд Мэри,1
АдриеннаДеДюпре,Undirected,Шерлок Холмс,1
Анджело,Undirected,Грегори Лестрейд,1
Анджело,Undirected,Джон Ватсон,1
Анджело,Undirected,Майкрофт Холмс,1
Анджело,Undirected,Молли Хупер,1
Анджело,Undirected,Шерлок Холмс,1
Анна Адамсон,Undirected,Джон Ватсон,1
Анна Адамсон,Undirected,Ирэн Адлер,1
Анна Адамсон,Undirected,Миссис Хадсон,1
Анна Адамсон,Undirected,Молли Хупер,1
Анна Адамсон,Undirected,Розамунд Мэри,1
Анна Адамсон,Undirected,Шерлок Холмс,1
Антея,Undirected,Вивиан Нордбери,1
Антея,Undirected,Виктор Тревор,1
Антея,Undirected,Грегори Лестрейд,14
Антея,Undirected,Джанин Хоккинс,2
Антея,Undirected,Джон Ватсон,21
Антея,Undirected,Инспектор Кристиан Диммок,2
Антея,Undirected,Ирэн Адлер,6
Антея,Undirected,Калвертон Смит,1
Антея,Undirected,Кейт,1
Антея,Undirected,Китти Райли,1
Антея,Undirected,Леди Алисия Смоллвуд,4
Антея,Undirected,Майк Стамфорд,1
Антея,Undirected,Майкрофт Холмс,24
Антея,Undirected,Майор Джеймс Шолто,1
Антея,Undirected,Миссис Хадсон,7
Антея,Undirected,Миссис Холмс,6
Антея,Undirected,Молли Хупер,13
Антея,Undirected,Мориарти,4
Антея,Undirected,Мэри Элизабет Морстен,6
Антея,Undirected,ОЖП,9
Антея,Undirected,ОМП,5
Антея,Undirected,Розамунд Мэри,1
Антея,Undirected,Салли Донован,3
Антея,Undirected,Фейт,1
Антея,Undirected,Филипп Андерсон,3
Антея,Undirected,Чарльз Огастес Магнуссен,1
Антея,Undirected,Шерлок Холмс,23
Антея,Undirected,Эврус Холмс,2
Белла Скотт,Undirected,Джон Ватсон,1
Белла Скотт,Undirected,Кейт Браун,1
Белла Скотт,Undirected,Кристи Браун,1
Белла Скотт,Undirected,Майкрофт Холмс,1
Белла Скотт,Undirected,Мориарти,1
Белла Скотт,Undirected,Шерлок Холмс,1
Билли Уиггинс,Undirected,Грегори Лестрейд,4
Билли Уиггинс,Undirected,Джон Ватсон,4
Билли Уиггинс,Undirected,Ирэн Адлер,2
Билли Уиггинс,Undirected,Майкрофт Холмс,3
Билли Уиггинс,Undirected,Миссис Хадсон,3
Билли Уиггинс,Undirected,Миссис Холмс,1
Билли Уиггинс,Undirected,Молли Хупер,5
Билли Уиггинс,Undirected,Мориарти,1
Билли Уиггинс,Undirected,Мэри Элизабет Морстен,3
Билли Уиггинс,Undirected,ОЖП,2
Билли Уиггинс,Undirected,ОМП,2
Билли Уиггинс,Undirected,Розамунд Мэри,1
Билли Уиггинс,Undirected,Себастьян Моран,2
Билли Уиггинс,Undirected,Том,1
Билли Уиггинс,Undirected,Филипп Андерсон,1
Билли Уиггинс,Undirected,Шерлок Холмс,5
Брайан,Undirected,Кейт,1
Брайан,Undirected,Молли Хупер,1
Брайан,Undirected,Руперт,1
