Source,Type,Target,Weight
адамс,Undirected,ватсон,1
адамс,Undirected,грег лестрейд,1
адамс,Undirected,ирэн адлер,1
адамс,Undirected,леди кармайкл,1
адамс,Undirected,луиза,1
адамс,Undirected,майкрофт холмс,1
адамс,Undirected,мистер милас,1
адамс,Undirected,молли хупер,1
адамс,Undirected,мориарти,1
адамс,Undirected,мэри элизабет,1
адамс,Undirected,рэд берд,1
адамс,Undirected,софи,1
адамс,Undirected,уальдер,1
адамс,Undirected,хадсон,1
адамс,Undirected,шерлок холмс,1
адамс,Undirected,эмилия риколетти,1
адамс,Undirected,юстас,1
аджай,Undirected,алекс,1
аджай,Undirected,ватсон,1
аджай,Undirected,грег лестрейд,1
аджай,Undirected,грета бенгсдоттер,1
аджай,Undirected,деннис паркинсон,1
аджай,Undirected,джайлс,1
аджай,Undirected,джек сандефорд,1
аджай,Undirected,джоел фентимен,1
аджай,Undirected,доктор барникот,1
аджай,Undirected,дэвид вэлсборо,1
аджай,Undirected,крэйг,1
аджай,Undirected,леди смолвуд,1
аджай,Undirected,майкрофт холмс,1
аджай,Undirected,мисс орри харкер,1
аджай,Undirected,миссис норбери,1
аджай,Undirected,мистер кингсли,1
аджай,Undirected,мистер мохандес хассан,1
аджай,Undirected,мистер хэзерли,1
аджай,Undirected,мориарти,1
аджай,Undirected,мэри элизабет,1
аджай,Undirected,стелла,1
аджай,Undirected,тоби,1
аджай,Undirected,хадсон,1
аджай,Undirected,чарли,1
аджай,Undirected,шерлок холмс,1
аджай,Undirected,шерринфорд,1
аджай,Undirected,эйджей,1
аджай,Undirected,эндрю уилсон,1
айвэн,Undirected,ватсон,1
айвэн,Undirected,гарольд чорли,1
айвэн,Undirected,грег лестрейд,1
айвэн,Undirected,ирэн адлер,1
айвэн,Undirected,калвертон смит,1
айвэн,Undirected,майкрофт холмс,1
айвэн,Undirected,мистер смит,1
айвэн,Undirected,молли хупер,1
айвэн,Undirected,мэри элизабет,1
айвэн,Undirected,рози,1
айвэн,Undirected,сестра корниш,1
айвэн,Undirected,фэйт,1
айвэн,Undirected,хадсон,1
айвэн,Undirected,чарльз огастес магнуссен,1
айвэн,Undirected,шерлок холмс,1
айвэн,Undirected,эврус,1
айзек уитни,Undirected,билл уиггинс,1
айзек уитни,Undirected,ватсон,1
айзек уитни,Undirected,джанин,1
айзек уитни,Undirected,кейт,1
айзек уитни,Undirected,майк,1
айзек уитни,Undirected,майкрофт холмс,1
айзек уитни,Undirected,молли купер,1
айзек уитни,Undirected,мориарти,1
айзек уитни,Undirected,мэри элизабет,1
айзек уитни,Undirected,редберд,1
айзек уитни,Undirected,хадсон,1
айзек уитни,Undirected,чарльз огастес магнуссен,1
айзек уитни,Undirected,шерлок холмс,1
алекс вудбридж,Undirected,бёвик,1
алекс вудбридж,Undirected,ватсон,1
алекс вудбридж,Undirected,джо харрисон,1
алекс вудбридж,Undirected,йен монкфорд,1
алекс вудбридж,Undirected,карл пауэрс,1
алекс вудбридж,Undirected,кенни принс,1
алекс вудбридж,Undirected,кэрнс,1
алекс вудбридж,Undirected,лиз,1
алекс вудбридж,Undirected,люси,1
алекс вудбридж,Undirected,майкрофт холмс,1
алекс вудбридж,Undirected,мисс венцеслас,1
алекс вудбридж,Undirected,мисс монкфорд,1
алекс вудбридж,Undirected,мистер юарт,1
алекс вудбридж,Undirected,молли хупер,1
алекс вудбридж,Undirected,мориарти,1
алекс вудбридж,Undirected,оскар дзундза,1
алекс вудбридж,Undirected,рауль де сантос,1
алекс вудбридж,Undirected,сара,1
алекс вудбридж,Undirected,тайра,1
алекс вудбридж,Undirected,хадсон,1
алекс вудбридж,Undirected,шерлок холмс,1
алекс вудбридж,Undirected,эндрю уэст,1
алекс гарридеб,Undirected,ватсон,1
алекс гарридеб,Undirected,виггинс,1
алекс гарридеб,Undirected,грег лестрейд,1
алекс гарридеб,Undirected,доктор тейлор,1
алекс гарридеб,Undirected,дэвид,1
алекс гарридеб,Undirected,дядя руди,1
алекс гарридеб,Undirected,ирэн адлер,1
алекс гарридеб,Undirected,майкрофт холмс,1
алекс гарридеб,Undirected,молли хупер,1
алекс гарридеб,Undirected,мориарти,1
алекс гарридеб,Undirected,нэйтан гарридеб,1
алекс гарридеб,Undirected,фэйт смит,1
алекс гарридеб,Undirected,хадсон,1
алекс гарридеб,Undirected,ховард гарридеб,1
алекс гарридеб,Undirected,шерлок холмс,1
алекс гарридеб,Undirected,эванс,1
алекс гарридеб,Undirected,эврус,1
алекс,Undirected,ватсон,1
алекс,Undirected,грег лестрейд,1
алекс,Undirected,грета бенгсдоттер,1
алекс,Undirected,деннис паркинсон,1
алекс,Undirected,джайлс,1
алекс,Undirected,джек сандефорд,1
алекс,Undirected,джоел фентимен,1
алекс,Undirected,доктор барникот,1
алекс,Undirected,дэвид вэлсборо,1
алекс,Undirected,крэйг,1
алекс,Undirected,леди смолвуд,1
алекс,Undirected,майкрофт холмс,1
алекс,Undirected,мисс орри харкер,1
алекс,Undirected,миссис норбери,1
