Source,Type,Target,Weight
DoubleJ,Undirected,Джон Ватсон,1
DoubleJ,Undirected,Мориарти,1
fem!Билли Уиггинс,Undirected,Анджело,1
fem!Билли Уиггинс,Undirected,Виктор Тревор,1
fem!Билли Уиггинс,Undirected,Гарриет Ватсон,1
fem!Билли Уиггинс,Undirected,Грегори Лестрейд,1
fem!Билли Уиггинс,Undirected,Дженнифер Уилсон,1
fem!Билли Уиггинс,Undirected,Джефф Хоуп,1
fem!Билли Уиггинс,Undirected,Джон Ватсон,1
fem!Билли Уиггинс,Undirected,Инспектор Кристиан Диммок,1
fem!Билли Уиггинс,Undirected,Ирэн Адлер,1
fem!Билли Уиггинс,Undirected,Клара,1
fem!Билли Уиггинс,Undirected,Майкрофт Холмс,1
fem!Билли Уиггинс,Undirected,Миссис Хадсон,1
fem!Билли Уиггинс,Undirected,Молли Хупер,1
fem!Билли Уиггинс,Undirected,ОЖП,1
fem!Билли Уиггинс,Undirected,ОМП,1
fem!Билли Уиггинс,Undirected,Салли Донован,1
fem!Билли Уиггинс,Undirected,Филипп Андерсон,1
fem!Билли Уиггинс,Undirected,Шерлок Холмс,1
Анджело,Undirected,Виктор Тревор,1
Анджело,Undirected,Гарриет Ватсон,1
Анджело,Undirected,Грегори Лестрейд,5
Анджело,Undirected,Дженнифер Уилсон,1
Анджело,Undirected,Джефф Хоуп,1
Анджело,Undirected,Джон Ватсон,7
Анджело,Undirected,Инспектор Кристиан Диммок,1
Анджело,Undirected,Ирэн Адлер,1
Анджело,Undirected,Клара,1
Анджело,Undirected,Майк Стамфорд,3
Анджело,Undirected,Майкрофт Холмс,4
Анджело,Undirected,Миссис Хадсон,4
Анджело,Undirected,Миссис Холмс,2
Анджело,Undirected,Молли Хупер,4
Анджело,Undirected,Мэри Элизабет Морстен,1
Анджело,Undirected,ОЖП,1
Анджело,Undirected,ОМП,2
Анджело,Undirected,Салли Донован,2
Анджело,Undirected,Сара Сойер,2
Анджело,Undirected,Филипп Андерсон,3
Анджело,Undirected,Шерлок Холмс,7
Антея,Undirected,Гарриет Ватсон,1
Антея,Undirected,Грегори Лестрейд,10
Антея,Undirected,Джон Ватсон,7
Антея,Undirected,Инспектор Кристиан Диммок,1
Антея,Undirected,Леди Алисия Смоллвуд,1
Антея,Undirected,Майкрофт Холмс,12
Антея,Undirected,Миссис Хадсон,1
Антея,Undirected,Миссис Холмс,1
Антея,Undirected,Молли Хупер,3
Антея,Undirected,Мориарти,1
Антея,Undirected,ОЖП,2
Антея,Undirected,ОМП,1
Антея,Undirected,Салли Донован,2
Антея,Undirected,Филипп Андерсон,1
Антея,Undirected,Шерлок Холмс,10
Антея,Undirected,Эврус Холмс,1
Барри Парксон,Undirected,Грегори Лестрейд,1
Барри Парксон,Undirected,Джон Ватсон,1
Барри Парксон,Undirected,Майкрофт Холмс,1
Барри Парксон,Undirected,Мориарти,1
Барри Парксон,Undirected,Себастьян Моран,1
Барри Парксон,Undirected,Шерлок Холмс,1
Билли Уиггинс,Undirected,Грегори Лестрейд,1
Билли Уиггинс,Undirected,Джон Ватсон,1
Билли Уиггинс,Undirected,Майкрофт Холмс,1
Билли Уиггинс,Undirected,Молли Хупер,1
Билли Уиггинс,Undirected,Мориарти,1
Билли Уиггинс,Undirected,Мэри Элизабет Морстен,1
Билли Уиггинс,Undirected,Чарльз Огастес Магнуссен,1
Билли Уиггинс,Undirected,Шерлок Холмс,2
Билли Уиггинс,Undirected,Эврус Холмс,1
Вивиан Нордбери,Undirected,Джон Ватсон,1
Вивиан Нордбери,Undirected,Майкрофт Холмс,1
Вивиан Нордбери,Undirected,Миссис Хадсон,1
Вивиан Нордбери,Undirected,Мэри Элизабет Морстен,1
Вивиан Нордбери,Undirected,Розамунд Мэри,1
Вивиан Нордбери,Undirected,Шерлок Холмс,1
Вивиан Нордбери,Undirected,Эврус Холмс,1
Виктор Тревор,Undirected,Гарриет Ватсон,3
Виктор Тревор,Undirected,Грегори Лестрейд,5
Виктор Тревор,Undirected,Дженнифер Уилсон,1
Виктор Тревор,Undirected,Джефф Хоуп,1
Виктор Тревор,Undirected,Джон Ватсон,9
Виктор Тревор,Undirected,Инспектор Кристиан Диммок,1
Виктор Тревор,Undirected,Ирэн Адлер,2
Виктор Тревор,Undirected,Клара,1
Виктор Тревор,Undirected,Майк Стамфорд,1
Виктор Тревор,Undirected,Майкрофт Холмс,7
Виктор Тревор,Undirected,Миссис Хадсон,5
Виктор Тревор,Undirected,Миссис Холмс,1
Виктор Тревор,Undirected,Молли Хупер,2
Виктор Тревор,Undirected,Мориарти,2
Виктор Тревор,Undirected,Мэри Элизабет Морстен,1
Виктор Тревор,Undirected,ОЖП,1
Виктор Тревор,Undirected,ОМП,1
Виктор Тревор,Undirected,Розамунд Мэри,1
Виктор Тревор,Undirected,Салли Донован,2
Виктор Тревор,Undirected,Себастьян Моран,1
Виктор Тревор,Undirected,Филипп Андерсон,1
Виктор Тревор,Undirected,Шерлок Холмс,9
Виктор Тревор,Undirected,Эврус Холмс,1
Гарриет Ватсон,Undirected,Грегори Лестрейд,12
Гарриет Ватсон,Undirected,Дженнифер Уилсон,1
Гарриет Ватсон,Undirected,Джефф Хоуп,1
Гарриет Ватсон,Undirected,Джон Ватсон,18
Гарриет Ватсон,Undirected,Инспектор Кристиан Диммок,2
Гарриет Ватсон,Undirected,Ирэн Адлер,6
Гарриет Ватсон,Undirected,Клара,3
Гарриет Ватсон,Undirected,Майк Стамфорд,5
Гарриет Ватсон,Undirected,Майкрофт Холмс,14
Гарриет Ватсон,Undirected,Майор Джеймс Шолто,1
Гарриет Ватсон,Undirected,Миссис Хадсон,10
Гарриет Ватсон,Undirected,Миссис Холмс,3
Гарриет Ватсон,Undirected,Молли Хупер,9
Гарриет Ватсон,Undirected,Мориарти,4
Гарриет Ватсон,Undirected,Мэри Элизабет Морстен,3
Гарриет Ватсон,Undirected,ОЖП,5
Гарриет Ватсон,Undirected,ОМП,8
Гарриет Ватсон,Undirected,Салли Донован,5
Гарриет Ватсон,Undirected,Себастьян Моран,3
Гарриет Ватсон,Undirected,Филипп Андерсон,3
Гарриет Ватсон,Undirected,Шерлок Холмс,18
Грегори Лестрейд,Undirected,Джанин Хоккинс,2
Грегори Лестрейд,Undirected,Дженнифер Уилсон,1
Грегори Лестрейд,Undirected,Джефф Хоуп,2
Грегори Лестрейд,Undirected,Джон Ватсон,222
Грегори Лестрейд,Undirected,Инспектор Кристиан Диммок,2
Грегори Лестрейд,Undirected,Ирэн Адлер,20
Грегори Лестрейд,Undirected,Клара,3
Грегори Лестрейд,Undirected,Леди Алисия Смоллвуд,4
Грегори Лестрейд,Undirected,Майк Стамфорд,18
Грегори Лестрейд,Undirected,Майкрофт Холмс,216
Грегори Лестрейд,Undirected,Майор Джеймс Шолто,2
Грегори Лестрейд,Undirected,Миссис Хадсон,73
Грегори Лестрейд,Undirected,Миссис Холмс,12
Грегори Лестрейд,Undirected,Молли Хупер,47
Грегори Лестрейд,Undirected,Мориарти,40
Грегори Лестрейд,Undirected,Мэри Элизабет Морстен,18
Грегори Лестрейд,Undirected,ОЖП,25
Грегори Лестрейд,Undirected,ОМП,39
Грегори Лестрейд,Undirected,Розамунд Мэри,13
Грегори Лестрейд,Undirected,Салли Донован,38
Грегори Лестрейд,Undirected,Сара Сойер,5
Грегори Лестрейд,Undirected,Себастьян Моран,14
Грегори Лестрейд,Undirected,Филипп Андерсон,23
Грегори Лестрейд,Undirected,Чарльз Огастес Магнуссен,5
Грегори Лестрейд,Undirected,Шерлок Холмс,240
Грегори Лестрейд,Undirected,Эврус Холмс,7
Грегори Лестрейд,Undirected,Элла,1
Грегори Лестрейд,Undirected,Эмилия О'Двайер,1
Джанин Хоккинс,Undirected,Джон Ватсон,3
Джанин Хоккинс,Undirected,Майкрофт Холмс,2
Джанин Хоккинс,Undirected,Миссис Хадсон,2
Джанин Хоккинс,Undirected,Молли Хупер,2
Джанин Хоккинс,Undirected,Мориарти,1
Джанин Хоккинс,Undirected,Мэри Элизабет Морстен,2
Джанин Хоккинс,Undirected,Салли Донован,1
Джанин Хоккинс,Undirected,Сара Сойер,1
Джанин Хоккинс,Undirected,Чарльз Огастес Магнуссен,1
Джанин Хоккинс,Undirected,Шерлок Холмс,3
Джейн Мофист,Undirected,Джон Ватсон,1
Джейн Мофист,Undirected,Майкрофт Холмс,1
Джейн Мофист,Undirected,Мориарти,1
Джейн Мофист,Undirected,Шерлок Холмс,1
Дженнифер Уилсон,Undirected,Джефф Хоуп,1
Дженнифер Уилсон,Undirected,Джон Ватсон,1
Дженнифер Уилсон,Undirected,Инспектор Кристиан Диммок,1
Дженнифер Уилсон,Undirected,Ирэн Адлер,1
Дженнифер Уилсон,Undirected,Клара,1
Дженнифер Уилсон,Undirected,Майкрофт Холмс,1
Дженнифер Уилсон,Undirected,Миссис Хадсон,1
Дженнифер Уилсон,Undirected,Молли Хупер,1
Дженнифер Уилсон,Undirected,ОЖП,1
Дженнифер Уилсон,Undirected,ОМП,1
Дженнифер Уилсон,Undirected,Салли Донован,1
Дженнифер Уилсон,Undirected,Филипп Андерсон,1
Дженнифер Уилсон,Undirected,Шерлок Холмс,1
Джефф Хоуп,Undirected,Джон Ватсон,4
Джефф Хоуп,Undirected,Инспектор Кристиан Диммок,1
Джефф Хоуп,Undirected,Ирэн Адлер,1
Джефф Хоуп,Undirected,Клара,1
Джефф Хоуп,Undirected,Майкрофт Холмс,2
Джефф Хоуп,Undirected,Миссис Хадсон,2
Джефф Хоуп,Undirected,Молли Хупер,2
Джефф Хоуп,Undirected,ОЖП,1
Джефф Хоуп,Undirected,ОМП,1
Джефф Хоуп,Undirected,Салли Донован,1
Джефф Хоуп,Undirected,Филипп Андерсон,2
Джефф Хоуп,Undirected,Шерлок Холмс,4
Джон Ватсон,Undirected,Инспектор Кристиан Диммок,3
Джон Ватсон,Undirected,Ирэн Адлер,28
Джон Ватсон,Undirected,Клара,3
Джон Ватсон,Undirected,Леди Алисия Смоллвуд,3
Джон Ватсон,Undirected,Майк Стамфорд,23
Джон Ватсон,Undirected,Майкрофт Холмс,238
Джон Ватсон,Undirected,Майор Джеймс Шолто,2
Джон Ватсон,Undirected,Миссис Хадсон,115
Джон Ватсон,Undirected,Миссис Холмс,18
Джон Ватсон,Undirected,Молли Хупер,57
Джон Ватсон,Undirected,Моран,1
Джон Ватсон,Undirected,Мориарти,74
Джон Ватсон,Undirected,Мэри Элизабет Морстен,42
Джон Ватсон,Undirected,ОЖП,32
Джон Ватсон,Undirected,ОМП,54
Джон Ватсон,Undirected,Ричард Брук,1
Джон Ватсон,Undirected,Розамунд Мэри,31
Джон Ватсон,Undirected,Салли Донован,37
Джон Ватсон,Undirected,Сара Сойер,9
Джон Ватсон,Undirected,Себастьян Моран,24
Джон Ватсон,Undirected,Себастьян Уилкс,1
Джон Ватсон,Undirected,Филипп Андерсон,21
Джон Ватсон,Undirected,Чарльз Огастес Магнуссен,7
Джон Ватсон,Undirected,Шерлок Холмс,515
Джон Ватсон,Undirected,Эврус Холмс,10
Джон Ватсон,Undirected,Элла,1
Джон Ватсон,Undirected,Эмилия О'Двайер,1
Инспектор Кристиан Диммок,Undirected,Ирэн Адлер,1
Инспектор Кристиан Диммок,Undirected,Клара,1
Инспектор Кристиан Диммок,Undirected,Майкрофт Холмс,3
Инспектор Кристиан Диммок,Undirected,Миссис Хадсон,2
Инспектор Кристиан Диммок,Undirected,Молли Хупер,3
Инспектор Кристиан Диммок,Undirected,ОЖП,1
Инспектор Кристиан Диммок,Undirected,ОМП,1
Инспектор Кристиан Диммок,Undirected,Салли Донован,2
Инспектор Кристиан Диммок,Undirected,Филипп Андерсон,1
Инспектор Кристиан Диммок,Undirected,Шерлок Холмс,3
Ирэн Адлер,Undirected,Клара,1
Ирэн Адлер,Undirected,Леди Алисия Смоллвуд,1
Ирэн Адлер,Undirected,Майк Стамфорд,5
Ирэн Адлер,Undirected,Майкрофт Холмс,25
Ирэн Адлер,Undirected,Миссис Хадсон,9
Ирэн Адлер,Undirected,Миссис Холмс,2
Ирэн Адлер,Undirected,Молли Хупер,15
Ирэн Адлер,Undirected,Мориарти,15
Ирэн Адлер,Undirected,Мэри Элизабет Морстен,7
Ирэн Адлер,Undirected,ОЖП,4
Ирэн Адлер,Undirected,ОМП,5
Ирэн Адлер,Undirected,Розамунд Мэри,1
Ирэн Адлер,Undirected,Салли Донован,6
Ирэн Адлер,Undirected,Сара Сойер,1
Ирэн Адлер,Undirected,Себастьян Моран,7
Ирэн Адлер,Undirected,Филипп Андерсон,5
Ирэн Адлер,Undirected,Чарльз Огастес Магнуссен,3
Ирэн Адлер,Undirected,Шерлок Холмс,28
Клара,Undirected,Майкрофт Холмс,2
Клара,Undirected,Миссис Хадсон,3
Клара,Undirected,Молли Хупер,2
Клара,Undirected,ОЖП,2
Клара,Undirected,ОМП,3
Клара,Undirected,Салли Донован,1
Клара,Undirected,Филипп Андерсон,2
Клара,Undirected,Шерлок Холмс,3
Леди Алисия Смоллвуд,Undirected,Майкрофт Холмс,4
Леди Алисия Смоллвуд,Undirected,Миссис Холмс,2
Леди Алисия Смоллвуд,Undirected,Молли Хупер,1
Леди Алисия Смоллвуд,Undirected,Мориарти,1
Леди Алисия Смоллвуд,Undirected,ОЖП,1
Леди Алисия Смоллвуд,Undirected,ОМП,1
Леди Алисия Смоллвуд,Undirected,Шерлок Холмс,4
Леди Алисия Смоллвуд,Undirected,Эврус Холмс,1
Майк Стамфорд,Undirected,Майкрофт Холмс,18
Майк Стамфорд,Undirected,Майор Джеймс Шолто,1
Майк Стамфорд,Undirected,Миссис Хадсон,9
Майк Стамфорд,Undirected,Миссис Холмс,4
Майк Стамфорд,Undirected,Молли Хупер,12
Майк Стамфорд,Undirected,Мориарти,5
Майк Стамфорд,Undirected,Мэри Элизабет Морстен,4
Майк Стамфорд,Undirected,ОЖП,1
Майк Стамфорд,Undirected,ОМП,6
Майк Стамфорд,Undirected,Розамунд Мэри,1
Майк Стамфорд,Undirected,Салли Донован,5
Майк Стамфорд,Undirected,Себастьян Моран,1
Майк Стамфорд,Undirected,Филипп Андерсон,4
Майк Стамфорд,Undirected,Шерлок Холмс,23
Майкрофт Холмс,Undirected,Майор Джеймс Шолто,2
Майкрофт Холмс,Undirected,Миссис Хадсон,77
Майкрофт Холмс,Undirected,Миссис Холмс,18
Майкрофт Холмс,Undirected,Молли Хупер,46
Майкрофт Холмс,Undirected,Мориарти,62
Майкрофт Холмс,Undirected,Мэри Элизабет Морстен,27
Майкрофт Холмс,Undirected,ОЖП,24
Майкрофт Холмс,Undirected,ОМП,38
Майкрофт Холмс,Undirected,Розамунд Мэри,11
Майкрофт Холмс,Undirected,Салли Донован,28
Майкрофт Холмс,Undirected,Сара Сойер,3
Майкрофт Холмс,Undirected,Себастьян Моран,21
Майкрофт Холмс,Undirected,Себастьян Уилкс,1
Майкрофт Холмс,Undirected,Филипп Андерсон,17
Майкрофт Холмс,Undirected,Чарльз Огастес Магнуссен,8
Майкрофт Холмс,Undirected,Шерлок Холмс,268
Майкрофт Холмс,Undirected,Эврус Холмс,10
Майкрофт Холмс,Undirected,Элла,1
Майкрофт Холмс,Undirected,Эмилия О'Двайер,1
Майор Джеймс Шолто,Undirected,Миссис Хадсон,2
Майор Джеймс Шолто,Undirected,Миссис Холмс,1
Майор Джеймс Шолто,Undirected,ОМП,1
Майор Джеймс Шолто,Undirected,Сара Сойер,1
Майор Джеймс Шолто,Undirected,Шерлок Холмс,2
Миссис Хадсон,Undirected,Миссис Холмс,6
Миссис Хадсон,Undirected,Молли Хупер,33
Миссис Хадсон,Undirected,Мориарти,18
Миссис Хадсон,Undirected,Мэри Элизабет Морстен,17
Миссис Хадсон,Undirected,ОЖП,9
Миссис Хадсон,Undirected,ОМП,16
Миссис Хадсон,Undirected,Розамунд Мэри,13
Миссис Хадсон,Undirected,Салли Донован,13
