Source,Type,Target,Weight
DoubleJ,Undirected,Джон Ватсон,1
DoubleJ,Undirected,Мориарти,1
fem!Билли Уиггинс,Undirected,Анджело,1
fem!Билли Уиггинс,Undirected,Виктор Тревор,1
fem!Билли Уиггинс,Undirected,Гарриет Ватсон,1
fem!Билли Уиггинс,Undirected,Грегори Лестрейд,1
fem!Билли Уиггинс,Undirected,Дженнифер Уилсон,1
fem!Билли Уиггинс,Undirected,Джефф Хоуп,1
fem!Билли Уиггинс,Undirected,Джон Ватсон,1
fem!Билли Уиггинс,Undirected,Инспектор Кристиан Диммок,1
fem!Билли Уиггинс,Undirected,Ирэн Адлер,1
fem!Билли Уиггинс,Undirected,Клара,1
fem!Билли Уиггинс,Undirected,Майкрофт Холмс,1
fem!Билли Уиггинс,Undirected,Миссис Хадсон,1
fem!Билли Уиггинс,Undirected,Молли Хупер,1
fem!Билли Уиггинс,Undirected,ОЖП,1
fem!Билли Уиггинс,Undirected,ОМП,1
fem!Билли Уиггинс,Undirected,Салли Донован,1
fem!Билли Уиггинс,Undirected,Филипп Андерсон,1
fem!Билли Уиггинс,Undirected,Шерлок Холмс,1
fem!Ватсон,Undirected,fem!Лестрейд,2
fem!Ватсон,Undirected,fem!Майкрофт Холмс,1
fem!Ватсон,Undirected,fem!Мориарти,1
fem!Ватсон,Undirected,fem!Холмс,11
fem!Ватсон,Undirected,Антея,2
fem!Ватсон,Undirected,Винсент Эдвин,1
fem!Ватсон,Undirected,Гарриет Ватсон,1
fem!Ватсон,Undirected,Грегори Лестрейд,9
fem!Ватсон,Undirected,Джон Ватсон,18
fem!Ватсон,Undirected,Кэрри Ватсон,1
fem!Ватсон,Undirected,Майкрофт Холмс,10
fem!Ватсон,Undirected,Миссис Хадсон,2
fem!Ватсон,Undirected,Молли Хупер,2
fem!Ватсон,Undirected,Мориарти,8
fem!Ватсон,Undirected,ОЖП,3
fem!Ватсон,Undirected,ОМП,1
fem!Ватсон,Undirected,Розамунд Мэри,1
fem!Ватсон,Undirected,Салли Донован,1
fem!Ватсон,Undirected,Сара Сойер,1
fem!Ватсон,Undirected,Себастьян Моран,1
fem!Ватсон,Undirected,Филипп Андерсон,1
fem!Ватсон,Undirected,Хью  Хант,1
fem!Ватсон,Undirected,Шерлок Холмс,23
fem!Ватсон,Undirected,Эврус Холмс,1
fem!Ватсон,Undirected,Элизабет Холмс,1
fem!Ватсон,Undirected,Юджин Миллс,1
fem!Джон Ватсон,Undirected,fem!Холмс,1
fem!Джон Ватсон,Undirected,Джон Ватсон,1
fem!Джон Ватсон,Undirected,Шерлок Холмс,1
fem!Лестрейд,Undirected,fem!Майкрофт Холмс,4
fem!Лестрейд,Undirected,fem!Холмс,2
fem!Лестрейд,Undirected,Гарриет Ватсон,1
fem!Лестрейд,Undirected,Грегори Лестрейд,3
fem!Лестрейд,Undirected,Джон Ватсон,1
fem!Лестрейд,Undirected,Майкрофт Холмс,4
fem!Лестрейд,Undirected,Молли Хупер,1
fem!Лестрейд,Undirected,Мэри Элизабет Морстен,1
fem!Лестрейд,Undirected,Шерлок Холмс,2
fem!Лестрейд,Undirected,Эврус Холмс,1
fem!Майкрофт Холмс,Undirected,fem!Холмс,2
fem!Майкрофт Холмс,Undirected,Антея,1
fem!Майкрофт Холмс,Undirected,Грегори Лестрейд,3
fem!Майкрофт Холмс,Undirected,Джон Ватсон,2
fem!Майкрофт Холмс,Undirected,Майкрофт Холмс,2
fem!Майкрофт Холмс,Undirected,Молли Хупер,1
fem!Майкрофт Холмс,Undirected,Мориарти,1
fem!Майкрофт Холмс,Undirected,ОМП,1
fem!Майкрофт Холмс,Undirected,Шерлок Холмс,2
fem!Майкрофт Холмс,Undirected,Эврус Холмс,1
fem!Мориарти,Undirected,fem!Себастьян Моран,1
fem!Мориарти,Undirected,fem!Холмс,1
fem!Мориарти,Undirected,Алана Моран,1
fem!Мориарти,Undirected,Джон Ватсон,3
fem!Мориарти,Undirected,Мориарти,5
fem!Мориарти,Undirected,ОМП,1
fem!Мориарти,Undirected,Себастьян Моран,3
fem!Мориарти,Undirected,Шерлок Холмс,2
fem!Себастьян Моран,Undirected,Мориарти,2
fem!Себастьян Моран,Undirected,Себастьян Моран,1
fem!Холмс,Undirected,Гарриет Ватсон,1
fem!Холмс,Undirected,Грегори Лестрейд,3
fem!Холмс,Undirected,Джон Ватсон,16
fem!Холмс,Undirected,Ирэн Адлер,2
fem!Холмс,Undirected,Майкрофт Холмс,5
fem!Холмс,Undirected,Миссис Хадсон,3
fem!Холмс,Undirected,Миссис Холмс,1
fem!Холмс,Undirected,Молли Хупер,1
fem!Холмс,Undirected,Мориарти,9
fem!Холмс,Undirected,Мэри Элизабет Морстен,2
fem!Холмс,Undirected,ОЖП,2
fem!Холмс,Undirected,ОМП,2
fem!Холмс,Undirected,Стивен Хэмиш Холмс,1
fem!Холмс,Undirected,Шерлок Холмс,16
fem!Холмс,Undirected,Эврус Холмс,3
Адлок,Undirected,Джон Ватсон,2
Адлок,Undirected,Ирэн Адлер,2
Адлок,Undirected,Майкрофт Холмс,1
Адлок,Undirected,Мэри Элизабет Морстен,1
Адлок,Undirected,Шерлок Холмс,2
АдриеннаДеДюпре,Undirected,Грегори Лестрейд,1
АдриеннаДеДюпре,Undirected,Джон Ватсон,1
АдриеннаДеДюпре,Undirected,ЖаклинДеДюпре,1
АдриеннаДеДюпре,Undirected,Майкрофт Холмс,1
АдриеннаДеДюпре,Undirected,Миссис Хадсон,1
АдриеннаДеДюпре,Undirected,Молли Хупер,1
АдриеннаДеДюпре,Undirected,Розамунд Мэри,1
АдриеннаДеДюпре,Undirected,Шерлок Холмс,1
Алана Моран,Undirected,Мориарти,1
Алана Моран,Undirected,Себастьян Моран,1
Александра Соколова,Undirected,Джон Ватсон,1
Александра Соколова,Undirected,Майкрофт Холмс,1
Александра Соколова,Undirected,Мэри Элизабет Морстен,1
Александра Соколова,Undirected,Чарльз Огастес Магнуссен,1
Александра Соколова,Undirected,Шерлок Холмс,1
Алисия Холмс,Undirected,Майкрофт Холмс,1
Алисия Холмс,Undirected,Шерлок Холмс,1
Анджело,Undirected,Виктор Тревор,1
Анджело,Undirected,Гарриет Ватсон,1
Анджело,Undirected,Грегори Лестрейд,6
Анджело,Undirected,Дженнифер Уилсон,1
Анджело,Undirected,Джефф Хоуп,1
Анджело,Undirected,Джон Ватсон,8
Анджело,Undirected,Инспектор Кристиан Диммок,1
Анджело,Undirected,Ирэн Адлер,1
Анджело,Undirected,Клара,1
Анджело,Undirected,Майк Стамфорд,3
Анджело,Undirected,Майкрофт Холмс,5
Анджело,Undirected,Миссис Хадсон,4
Анджело,Undirected,Миссис Холмс,2
Анджело,Undirected,Молли Хупер,5
Анджело,Undirected,Мэри Элизабет Морстен,1
Анджело,Undirected,ОЖП,1
Анджело,Undirected,ОМП,2
Анджело,Undirected,Салли Донован,2
Анджело,Undirected,Сара Сойер,2
Анджело,Undirected,Филипп Андерсон,3
Анджело,Undirected,Шерлок Холмс,8
Анна Адамсон,Undirected,Джон Ватсон,1
Анна Адамсон,Undirected,Ирэн Адлер,1
Анна Адамсон,Undirected,Миссис Хадсон,1
Анна Адамсон,Undirected,Молли Хупер,1
Анна Адамсон,Undirected,Розамунд Мэри,1
Анна Адамсон,Undirected,Шерлок Холмс,1
Антея,Undirected,Билли Уиггинс,1
Антея,Undirected,Вивиан Нордбери,1
Антея,Undirected,Виктор Тревор,1
Антея,Undirected,Гарриет Ватсон,2
Антея,Undirected,Гермиона Элизабет Ватсон,1
Антея,Undirected,Грегори Лестрейд,34
Антея,Undirected,Джанин Хоккинс,3
Антея,Undirected,Джон Ватсон,46
Антея,Undirected,Инспектор Кристиан Диммок,3
Антея,Undirected,Ирэн Адлер,7
Антея,Undirected,Калвертон Смит,2
Антея,Undirected,Кейт,1
Антея,Undirected,Китти Райли,1
Антея,Undirected,Клара,1
Антея,Undirected,Леди Алисия Смоллвуд,9
Антея,Undirected,Майк Стамфорд,1
Антея,Undirected,Майкрофт Холмс,56
Антея,Undirected,Майор Джеймс Шолто,1
Антея,Undirected,Миссис Хадсон,12
Антея,Undirected,Миссис Холмс,9
Антея,Undirected,Молли Хупер,28
Антея,Undirected,Мориарти,8
Антея,Undirected,Мэри Элизабет Морстен,7
Антея,Undirected,ОЖП,15
Антея,Undirected,ОМП,10
Антея,Undirected,Розамунд Мэри,5
Антея,Undirected,Салли Донован,7
Антея,Undirected,Сара Сойер,1
Антея,Undirected,Фейт,1
Антея,Undirected,Фейт Смит,1
Антея,Undirected,Филипп Андерсон,6
Антея,Undirected,Чарльз Огастес Магнуссен,2
Антея,Undirected,Шерлок Холмс,56
Антея,Undirected,Эврус Холмс,5
Барри Парксон,Undirected,Грегори Лестрейд,1
Барри Парксон,Undirected,Джон Ватсон,1
Барри Парксон,Undirected,Майкрофт Холмс,1
Барри Парксон,Undirected,Мориарти,1
Барри Парксон,Undirected,Себастьян Моран,1
Барри Парксон,Undirected,Шерлок Холмс,1
Белла Скотт,Undirected,Джон Ватсон,1
Белла Скотт,Undirected,Кейт Браун,1
Белла Скотт,Undirected,Кристи Браун,1
Белла Скотт,Undirected,Майкрофт Холмс,1
Белла Скотт,Undirected,Мориарти,1
Белла Скотт,Undirected,Шерлок Холмс,1
Билли Уиггинс,Undirected,Генри Найт,1
Билли Уиггинс,Undirected,Грегори Лестрейд,11
Билли Уиггинс,Undirected,Джанин Хоккинс,1
Билли Уиггинс,Undirected,Джон Ватсон,12
Билли Уиггинс,Undirected,Ирэн Адлер,3
Билли Уиггинс,Undirected,Калвертон Смит,1
Билли Уиггинс,Undirected,Майкрофт Холмс,8
Билли Уиггинс,Undirected,Миссис Хадсон,9
Билли Уиггинс,Undirected,Миссис Холмс,1
Билли Уиггинс,Undirected,Молли Хупер,11
Билли Уиггинс,Undirected,Мориарти,4
Билли Уиггинс,Undirected,Мэри Элизабет Морстен,8
Билли Уиггинс,Undirected,ОЖП,5
Билли Уиггинс,Undirected,ОМП,4
Билли Уиггинс,Undirected,Розамунд Мэри,3
Билли Уиггинс,Undirected,Салли Донован,2
Билли Уиггинс,Undirected,Себастьян Моран,2
Билли Уиггинс,Undirected,Том,1
Билли Уиггинс,Undirected,Фейт Смит,1
Билли Уиггинс,Undirected,Филипп Андерсон,3
Билли Уиггинс,Undirected,Чарльз Огастес Магнуссен,3
Билли Уиггинс,Undirected,Шерлок Холмс,14
Билли Уиггинс,Undirected,Эврус Холмс,3
Брайан,Undirected,Кейт,1
Брайан,Undirected,Молли Хупер,1
Брайан,Undirected,Руперт,1
Брайан,Undirected,Шерлок Холмс,1
Бретт Николс,Undirected,Грегори Лестрейд,1
Бретт Николс,Undirected,Джон Ватсон,1
Бретт Николс,Undirected,Майкрофт Холмс,1
Бретт Николс,Undirected,Миссис Хадсон,1
Бретт Николс,Undirected,Мэри Элизабет Морстен,1
Бретт Николс,Undirected,Розамунд Мэри,1
Бретт Николс,Undirected,Шерлок Холмс,1
Варстан,Undirected,Джон Ватсон,1
Варстан,Undirected,Мэри Элизабет Морстен,1
Вивиан Нордбери,Undirected,Грегори Лестрейд,3
Вивиан Нордбери,Undirected,Джанин Хоккинс,1
Вивиан Нордбери,Undirected,Джон Ватсон,4
Вивиан Нордбери,Undirected,Инспектор Кристиан Диммок,1
Вивиан Нордбери,Undirected,Ирэн Адлер,2
Вивиан Нордбери,Undirected,Кейт,1
Вивиан Нордбери,Undirected,Китти Райли,1
Вивиан Нордбери,Undirected,Леди Алисия Смоллвуд,1
Вивиан Нордбери,Undirected,Майк Стамфорд,1
Вивиан Нордбери,Undirected,Майкрофт Холмс,5
Вивиан Нордбери,Undirected,Миссис Хадсон,2
Вивиан Нордбери,Undirected,Миссис Холмс,2
Вивиан Нордбери,Undirected,Молли Хупер,3
Вивиан Нордбери,Undirected,Мориарти,1
Вивиан Нордбери,Undirected,Мэри Элизабет Морстен,4
Вивиан Нордбери,Undirected,Розамунд Мэри,2
Вивиан Нордбери,Undirected,Салли Донован,2
Вивиан Нордбери,Undirected,Филипп Андерсон,2
Вивиан Нордбери,Undirected,Шерлок Холмс,5
Вивиан Нордбери,Undirected,Эврус Холмс,2
Вивиан Нордбери,Undirected,Эмилия Риколетти,1
Виктор Тревор,Undirected,Гарриет Ватсон,3
Виктор Тревор,Undirected,Грегори Лестрейд,7
Виктор Тревор,Undirected,Дженнифер Уилсон,1
Виктор Тревор,Undirected,Джефф Хоуп,1
Виктор Тревор,Undirected,Джон Ватсон,13
Виктор Тревор,Undirected,Инспектор Кристиан Диммок,1
Виктор Тревор,Undirected,Ирэн Адлер,2
Виктор Тревор,Undirected,Клара,1
Виктор Тревор,Undirected,Леди Алисия Смоллвуд,1
Виктор Тревор,Undirected,Майк Стамфорд,2
Виктор Тревор,Undirected,Майкрофт Холмс,16
Виктор Тревор,Undirected,Майор Джеймс Шолто,1
Виктор Тревор,Undirected,Миссис Хадсон,5
Виктор Тревор,Undirected,Миссис Холмс,6
Виктор Тревор,Undirected,Молли Хупер,3
Виктор Тревор,Undirected,Мориарти,2
Виктор Тревор,Undirected,Мэри Элизабет Морстен,1
Виктор Тревор,Undirected,ОЖП,3
Виктор Тревор,Undirected,ОМП,1
Виктор Тревор,Undirected,Редберд,1
Виктор Тревор,Undirected,Розамунд Мэри,1
Виктор Тревор,Undirected,Салли Донован,2
Виктор Тревор,Undirected,Себастьян Моран,1
Виктор Тревор,Undirected,Филипп Андерсон,1
Виктор Тревор,Undirected,Шерлок Холмс,19
Виктор Тревор,Undirected,Эврус Холмс,7
Винсент Эдвин,Undirected,Грегори Лестрейд,1
Винсент Эдвин,Undirected,Джон Ватсон,1
Винсент Эдвин,Undirected,Кэрри Ватсон,1
Винсент Эдвин,Undirected,Майкрофт Холмс,1
Винсент Эдвин,Undirected,Молли Хупер,1
Винсент Эдвин,Undirected,Розамунд Мэри,1
Винсент Эдвин,Undirected,Хью  Хант,1
Винсент Эдвин,Undirected,Шерлок Холмс,1
Винсент Эдвин,Undirected,Элизабет Холмс,1
Винсент Эдвин,Undirected,Юджин Миллс,1
Гарри,Undirected,Гарриет Ватсон,1
Гарри,Undirected,Клара,1
Гарриет Ватсон,Undirected,Гермиона Элизабет Ватсон,1
Гарриет Ватсон,Undirected,Грегори Лестрейд,16
Гарриет Ватсон,Undirected,Дженнифер Уилсон,1
Гарриет Ватсон,Undirected,Джефф Хоуп,1
Гарриет Ватсон,Undirected,Джон Ватсон,31
Гарриет Ватсон,Undirected,Инспектор Кристиан Диммок,2
Гарриет Ватсон,Undirected,Ирэн Адлер,9
Гарриет Ватсон,Undirected,Клара,6
Гарриет Ватсон,Undirected,Майк Стамфорд,7
Гарриет Ватсон,Undirected,Майкрофт Холмс,20
Гарриет Ватсон,Undirected,Майор Джеймс Шолто,1
Гарриет Ватсон,Undirected,Миссис Хадсон,16
Гарриет Ватсон,Undirected,Миссис Холмс,3
Гарриет Ватсон,Undirected,Молли Хупер,13
Гарриет Ватсон,Undirected,Мориарти,8
Гарриет Ватсон,Undirected,Мэри Элизабет Морстен,6
Гарриет Ватсон,Undirected,ОЖП,7
Гарриет Ватсон,Undirected,ОМП,10
Гарриет Ватсон,Undirected,Розамунд Мэри,3
Гарриет Ватсон,Undirected,Салли Донован,6
Гарриет Ватсон,Undirected,Себастьян Моран,6
Гарриет Ватсон,Undirected,Себастьян Уилкс,1
Гарриет Ватсон,Undirected,Филипп Андерсон,4
Гарриет Ватсон,Undirected,Шерлок Холмс,30
Гвендолин Шейн,Undirected,Джон Ватсон,1
Гвендолин Шейн,Undirected,Мориарти,1
Гвендолин Шейн,Undirected,Шерлок Холмс,1
Генри Найт,Undirected,Грегори Лестрейд,2
Генри Найт,Undirected,Джон Ватсон,2
Генри Найт,Undirected,Ирэн Адлер,1
Генри Найт,Undirected,Майкрофт Холмс,2
Генри Найт,Undirected,Миссис Хадсон,2
Генри Найт,Undirected,Молли Хупер,1
